movie_title,original_description,true_genre,predicted_genre
Blue Tornado,"While experimenting with a new flight maneuver, Colonel Alex Long and Phil encounter a mysterious light over a mountain range. Phil becomes transfixed, flies into the light and disappears.",action,romance
Waah! Tera Kya Kehna,"Kishan Oberoi (Shammi Kapoor) has three sons Dilip (Shakti Kapoor), Ashish (Rana Jung Bahadur), and Raj (Govinda). While Dilip and Ashish are married, Raj is in love with Meena (Preeti",action,romance
Flesh on Fire,"The husband is a hard worker, and a tough man in more ways than one, but he is unable to pleasure his wife when making love to her. Therefore, she is unhappy, until she decides to take pleasure from men outside of her wedlock...",action,romance
New Tale of Zatoichi,"Wishing to find peace, Zatoichi travels to his old village but only finds trouble when he ends up in a love triangle and finds old scores have followed him home.",action,romance
Trouble at Midnight,Mystery about the theft of dairy cows.,action,horror
Doc Hollywood,A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.,romance,horror
Drama,"Two young people, Venkatesh and Nandini, get embroiled in a murder case when the strict principal is killed after he humiliates Nandini.",romance,action
Orange Trees,"Naranjos (Orange Trees) uses the orange fields of the area of Castellon, Spain as scenarios for the stories that are told in a series of 21 short-films by 21 directors. The movie shows the",action,horror
The Goblin,"Doo-hyun, who goes by the name the ""Goblin"", goes to prison for taking the fall for Young-min who killed their boss. Released after 10 years, Doo-hyun had been living a normal life, but",action,romance
Alex & Jaime,Alex and Jaime navigate a tumultuous lifetime relationship.,action,romance
La mancha negra,"After the death of the elderly Matilde Cisneros, her three daughters set the wake before a neighbors that turns its back on them, a priest in war with the family, and the unexpected arrival of his eldest son.",horror,romance
Find the Witness,"Rudolph Mordini (Henry Mollison) is a Houdini-type magician who claims he couldn't have possibly murdered his wife, as he was enclosed, at the time of the killing, in a sealed",action,horror
Yamla Pagla Deewana 2,"The trio reunites in the UK and they fall in love, become involved with a nightclub, and have to face up to the challenge of a local don.",action,romance
Whipsaw,"Hoping to nab a gang of jewel thieves, a government agent poses as a crook and travels across the country with a female thief.",romance,action
Les Misérables,"In early-19th-century France, an ex-convict who failed to report to parole is relentlessly pursued over a 20-year period by an obsessive policeman.",romance,action
Blackie's Redemption,"Shrewd crook Boston Blackie is determined to go straight. At a celebration held on the eve of his marriage to Mary Dawson, Fred the Count plants a stolen jewel and Blackie is arrested and",romance,action
High Road to China,"During WW1, an alcoholic American biplane pilot is hired by the spoiled daughter of an industrialist to find her father who disappeared in Asia.",romance,action
Till We Meet Again,"Occupied France, World War II. The American pilot John is shot down and taken to a convent by the Resistance. The young novice Clothilde is interested in him and is willing to help him",action,romance
UKM: The Ultimate Killing Machine,"Four people decide to join the army as it appears to be their best option. However, it turns out the army only plans on turning them into ultimate killing machines, they must fight back and save themselves.",horror,action
Adult Swim Yule Log,"There's just something comforting about sitting around a warm, cozy fire.",horror,romance
Candyman,"Something beautiful can turn out into a nightmare. A mystery woman, a spider-woman but he never gives up on her. He always get what he wants.",action,horror
El mochaorejas,A bloodthirsty thief who cuts off the ears of his enemies must face against the vengeful wrath of two of his victims.,action,horror
Trash,"Ansio Bruselas must overcome the phobia that keeps him prisoner in his tidy, comfortable and safe home, because of the certain possibility that her sister will have her breasts amputated",action,horror
The Haunting,"Francesca, a young pediatrician, and her husband Pedro, move to their new country house trying to forget a tragic event that has marked their lives.",horror,romance
Yuvraaj,"The Samrat of Suryadesh, Suryadev, travels to Pushpapuri in order to wed Rajkumari Nandini, but instead ends up getting married to her maid, Meenakshi, much to the chagrin of Nandini.",action,romance
Love Freely But Pay for Sex,89% of people in England have adopted a pay for sex lifestyle exchanging money for sex and the British Government now want a piece of the action.,action,romance
North of Dupont,"Is love an illusion to propagate the species? Follow Dave and Heath onto the neighborhood stoops north of Dupont and through the corridors of Washington, DC's Capitol Hill and you'll find out.",romance,action
Stronghold,"In 1860s Mexico, the beautiful owner of a silver mine is kidnapped by a bandit leader, who needs money to finance his revolt against the Emperor Maximilian.",romance,action
Selfi,Two youngsters takes a Selfie with a unknown girl. The Selfie takes control of their future.,romance,action
Negar,"According to the police, Negar's father committed suicide. Having had a happy life, Negar suspects that his death has not happened the way it seems. She starts unfolding the truth through an unconventional investigation.",action,horror
Dancing Dynamite,"A fisherman on Catalna Island tries to break into ""society"" and winds up helping a rich young girl mixed up with kidnappers.",action,romance
The Seventh Page,Prof. Jack Taylor tests a newly developed digital environment called 'Vivid Dreams'. He pretty much gets confused when his mind gets mixed with fantasies from other subconsciouses. You never dream alone.,action,romance
Bulldog Drummond Escapes,Captain Drummond becomes a prisoner when he intents to protect a beautiful heiress of an espionage organization.,romance,action
Yesterday,"Six complete strangers are forced to band together and flee the city when a zombie outbreak occurs. But after making camp in the middle of the wilderness, the group realise it's each other they should fear.",action,horror
West of the Sun,"In 1872, an evil arises that threatens to change history as we know it. Connie, a brash cowgirl from 1872, and Ember, a dedicated scientist from the present, work together to find and eliminate those forces and save us all.",romance,action
Fanfare,"J, the mysterious woman, may well just be a phenomenon rather than an actual person. A minimal society squeezed within a tight space--this is the stage to express the director's perspective",horror,romance
Balada Tiga Jagoan,"After a gang murders her parents and burns her house down, a young woman recruits two of her female friends to help get revenge.",action,horror
"Wife, i",I lost my wife. Who is responsible?,romance,action
Halloween Kills,Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror.,horror,action
Summertime,Two actresses are unknowingly cast for the same part in a film.,romance,horror
StreetDance 2,"After suffering humiliation by the crew Invincible, street dancer Ash (Hentschel) looks to gather the best dancers from around the world for a rematch.",romance,action
Purple Haze,Purple Haze is a movie about a talented musician from Haiti. The CEO of Colossal Records got wind of this raw talented musician and signed him to a deal. Sam Lucci the owner of Colossal,horror,action
Who Killed Nelson Nutmeg?,Four kids on their annual summer camp holiday suspect the park's mascot has been murdered so they set out to investigate who killed Nelson Nutmeg?,action,horror
Ayos na... ang kasunod,The story of two people leading two different lives. Ramon (FPJ) is a delivery truck driver while Amor (Ara Mina) own a neighborhood luncheonette. He is looking for the perfect partner. Her,action,romance
Los galleros de Jalisco,"Miguel Carrasco se devuelve a su ciudad natal y mata a Juan Huitron, después de que éste lo acusara de homicida. Miguel rechaza huir a pesar de que los hermanos del difunto buscan revancha.",action,romance
Feng Huang Zhi Ge,"The film tells the story of a young peasant woman, Jinfeng Wang. In communist China, Jinfeng Wang not only won her freedom in marriage, but also led her fellow villagers to embark on the path of cooperation.",romance,action
La verità secondo Satana,A man wants to commit suicide due the coldheartness and egoism of his fiancee.,horror,romance
Kalpana,Raghava is a fun-loving youngster who enjoys playing cricket with his friends. But at night he is afraid of ghosts and is always confined to his home under the care of his mother (Umashri).,horror,romance
Xiong mei,"A successful young politician wants a family, but his wife resists. She has emotional problems and can't accept the responsibility of motherhood. He finally convinces her to very",horror,romance
House of Black Wings,"After a tragic act of violence cuts short her music career, Kate Stone is returning to a city full of ex-fans and ex-friends. Taking shelter with her last friend, a struggling artist named",horror,romance
App War,"Bomb and June, two app startup founders, are leading each of their teams to get their mobile applications off the ground and running. They meet each other at their favorite hideaway dinner",romance,horror
Zoolander 2,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.",action,horror
The Witness Chair,A woman watches as false murder-trial evidence surrounds the man she loves.,romance,horror
16 Fight Against Ragging,The story focuses on the issue of ragging carried out by seniors during college life and the after-effects of ragging.,horror,romance
29: Day Two,"Seven months after the first ""29,"" Jono battles a plot to destroy Provo Cable and deprive the city of the '24' season premiere.",action,horror
Vénus,"A Princess learns that the captain of a ship she owns has struck a passenger, indirectly causing the passenger's death. The captain is immediately sacked although his action was in defense",romance,action
Kala Pani,"Based on A.J.Cronin's 'Beyond This Place', this movie narrates the story of an untiring crusade for justice. A young man, learning about his father's wrongful implication in a",romance,action
Zhuravushka,"Zhuravushka (aka...A little crane) is based on a story form the novel ""Khleb - imya sushchestvitelnoe"" by Mikhail Alekseev. Marfa (Chursina) is a widow of a Russian soldier, living in a",romance,action
Left Behind: The Movie,The Biblical prophecy of Armegeddon begins when the Rapture instantly takes all believers in Christ from the Earth. A reporter left behind learns that the Anti-Christ will soon take power.,action,horror
East Is West,"Ming Toy, the eldest of Hop Toy's many children, is rescued from the auction blocks by Billy Benson and sent to the United States in the care of Lo Sang Kee. There she continues her",romance,action
Sir,"Bombay-based Professor Amar Verma lives a middle-class lifestyle with his wife, Shobha, and 6 year old son, Kunal. When a gang-war breaks out between Veljibhai and Chhapan Tikle alias Jimmy",romance,action
Ga-ga: Glory to the Heroes,"In the 21st century, prisoners aboard penitentiary space ships explore unknown worlds.",horror,action
The Child,"Bruno and Sonia, a young couple living off her benefit and the thefts committed by his gang, have a new source of money: their newborn son.",romance,action
The Flower Shop,"Ellie, Ava and Hedy are three sisters who haven't talked in years. Their parents are two very elderly lovely people named Helena and Victor, who immigrated from Germany into the US with",action,romance
Finn's Girl,"With the death of her partner Nancy, Finn must raise their daughter alone while receiving death threats at the abortion clinic Nancy founded.",romance,horror
The Body,A crucified body dated back to the first century A.D is uncovered at an ancient cave in Jerusalem. Trouble ensues as word spreads.,romance,horror
The Hitcher,A young man who escapes the clutches of a murderous hitchhiker is subsequently stalked by the hitcher and framed for his crimes.,action,horror
Lucrezia Borgia,"At the end of the 15th Century, Rome is ruled ruthlessly by power mad and sex hungry Cesare Borgia, the eldest son of Pope Alexander VI. Following the advice of his chief adviser Niccolo",romance,action
Deadly Prey,"A group of sadistic mercenaries kidnap people off the streets and set them loose on the grounds of their secret camp, so the ""students"" at the camp can learn how to track down and kill their prey.",action,horror
Vehemence,A guy starts seeing the new office temp who is also the object of affection of her psychotic friend. The psycho embarks on terror campaign with dreadful consequences for the couple and the people closest to them.,romance,horror
Gizmo: The Do-It-Yourself Dog,"The story of Oliver Jones, a 12-year-old boy who is spending the summer with his Dad and eccentric Aunt on the family ranch in Kansas. Incredibly bored and alone since his dog ran away,",action,romance
eXploZion!,A dangerous world of mystery and magic.,horror,action
Tattoo,"An ardent culture-vulture youth, previously charged for the murder of a woman when he was young, plans to hold hostage a local bank.",romance,action
The Surveillance Master,plot outline not yet officially released.,horror,action
Molli and Max in the Future,"A sci-fi romantic comedy about a man and woman whose orbits repeatedly collide over the course of 12 years, 4 planets, 3 dimensions, and one space-cult.",romance,action
You're Killing Me Susana,"""Me Estas Matando Susana"" takes us on Eligio's quest to find and recover his wife, Susana, who without a word, left Mexico City behind for a writer's conference held in the chilly U.S. heartland.",romance,action
Calling Dr. Kildare,"Dr. Gillespie tries to teach Jimmy Kildare a lesson by tossing him into a street clinic. Only Kildare gets called to take a bullet out of a suspected murderer, and when the cops collar him",romance,action
Some Sense of Wonderment,A young man questions his whole life following the death of his Grandad.,romance,horror
14 Days Before Suicide,The ghost Autumn worked in a company owned by Mr. and Mrs. NG before she died. Now she is back.,horror,romance
Enemies Within,"After stumbling on to a runaway germ warfare experiment, an investigative reporter must find his own murderer.",action,horror
N.Y. Maxman,"Masayoshi, a first Maxman, is working in New York City in USA. He and Hiro, the grandson of the Maxman author meet and return to Japan. They meet the second Maxman. Elsewhere, Kaho's father",action,romance
Orient Express,"At an old age, prince Andrei Morudzi retreats to his castle in Romania, during the two world wars, after having led an eventful youth. There he is seen as a rare bird by the local folk, due",romance,action
Agamista,"Ez (Khaled Abol Naga) has a complex regarding Drugs and violence after he almost kills a guy in a fight while high on hash, His escape trip to his Family deserted retreat in Agami proves to",action,horror
Peekers,"When citizens in a small town start to go missing, a police officer faces off against a mysterious gang of grinning weirdos to find her son and keep him safe.",horror,action
Don't Let Them In,"A Jehovah's witness is killed, and 15 years later more and more of them are brutally murdered.",horror,action
The Diary of Alice Applebe,A Psychology graduate struggles with the depth of his first case involving a young woman suffering with depression.,horror,romance
Gift Box,"GIFT BOX is a unique movie about the demand and supply side of human trafficking and rare neurological disorder called ""Locked-in Syndrome"".",romance,horror
Humanus,"When her lover goes missing on his way back from work, Mollie goes straight to the police, and then to a psychic. Follow the incompetent officers of the law as they bumble through blood and",horror,action
Apex,"Six elite hunters pay to hunt down a man on a deserted island, only to find themselves becoming the prey.",action,horror
Tupang itim,THE YOUNG MANS'S FAMILY REGARDS HIM AS THEIR BLACK SHEEP AND THE STIGMA STICKS.,action,romance
Zombies Have Fallen,A young woman who possesses supernatural powers and visions of an upcoming apocalypse is aided by a retired bounty hunter who must protect her from those who wish to use her abilities for evil.,action,horror
Daud Pakad,"After a party, on their way to Baroda, 5 friends experience their worst nightmare in the form of police and gangsters.",action,horror
MC Helper beKINGs,Räkä deliver pizzas for a living and spends his free time on moped meetings. In one meeting he meets Liima and together they start working towards the first place in the upcoming race. The moped club MC Helper is born.,action,romance
The People Who Own the Dark,A group of rich businessmen and military officers who are partying in an old castle are spared when a nuclear war ravages the earth. When they venture out into the nearest town to search,horror,action
Lovers,"Justin Fisher tries to get the girl of his dream, Bailey. Meanwhile he also has to deal with the normal high school drama and more.",action,romance
Laal,Story of a boy named Behram who followed his dreams despite his father's disapproval but he wasn't prepared for what was about to come next.,action,romance
Possession,"Frankie is a psychopath who suffers from problems with his mother. To compensate for these problems he follows and persecutes Madeleine and some of her friends, killing one girl after the",horror,romance
Smoky&Bitter,"The killer Moroboshi who lost his memory wanders into a rural town, and the villain dispatch organization ""Ando , who is the face of the town, manages the beautiful woman Satomi who calls",action,horror
Aigaio SOS,"Summer 2018. As the tension between Greece and Turkey escalates, a big earthquake brings a small island to the surface of the Aegean sea. Both Greeks and Turks rush in to conquer the island",action,romance
Voodoo Child,Plot kept under wraps.,horror,action
Blood Guardian,Jason Hart witnesses the murder of his father at the hands of his drug addict mother at age twelve. Jason grows up to be a troubled man who has has several run-ins with the law . Jason,horror,action
Baekya,"A man is forced to choose between two women. He bases his choice on their finances, but soon comes to believe that he made the wrong selection",romance,action
The Fighting Heart,"A town outcast, mistrusted by his sweetheart enters the ring and eventually wins the fight and his girl.",action,romance
Rupayi,This movie Story rotates between relationships and neediness of money. In story line there are five major characters who fights between money and life. The script is filled with humorous,action,romance
Winx Club: The Mystery of the Abyss,"The Winx Club is struggling with a terrible mystery that will make your heart beat faster! The archenemies of the Winx Club, the Trix witches, team up with the evil nymph Politea and find",action,horror
Ayokong tumungtong sa lupa,"ONCE IN A RARE WHILE - YOU GER TO SEE TH KIND YOU REALLY WANT TO SEE!!. THE LOVE TRIANGLE IN THIS MELODRAMA INVOLVES A LONG-SUFFERING WIFE, A POOR CHILDHOOD SWEETHEART, AND A MENTALLY DERANGED HUSBAND.",action,romance
Sai lor fah,"A peddler of Buddhist amulets runs afoul of a powerful gangster by trying to buy the freedom of a woman he loves, with comically complicated results.",romance,action
Trap,"In 1982, an unstable ex-soldier finds himself caught in a bear trap deep in the British countryside. But he quickly learns that bleeding out is the least of his problems.",horror,romance
Whereout,"Whereout is a supernatural bare-knuckle oater about a man determined to face mighty powers to protect the woman he loves. Driven onward by the sheer power of his own will, he fights through",horror,action
Raven's Ridge,When a couple of low life thugs get away from a heist they just pulled they never think about the outcome after stashing there money in the woods only to find a woodsman who will do anything to kill and disappear into the night.,action,horror
Songs and Saddles,A traveling musician tries to prevent a rancher from losing his property to a swindler.,action,romance
"Shark, You Son of the Son of a Bitch","This time, is inconsequential.",horror,romance
The Red Mosquito,"Johnny Angel is an everyday Joe kinder guy, happy go lucky, working class who stays out of trouble and away from strange characters, has few friends, but that is by his choice, and his best",action,romance
Jimmy Mack,"A story about a neighborhood butcher. Who's been in buisness for over 40 years. Until one day the city decided to close Jimmy Mack's place down. That's when Jimmy's life took a turn, and so did the neighborhood.",horror,romance
Subjugation,"Alexandra ""Alex"" Lambert has the perfect life, until she meets Nikki. Attraction turns into fascination and pleasure into horror as Alex finds out who Nikki really is. And by this time, it's too late.",horror,romance
El valiente vive... hasta que el cobarde quiere,A new school teacher in a small town triggers various upheavals.,action,horror
Kurung Manuk (Bird Cage),Manuk an overly imaginative man child who never leaves his bedroom who ends up not only becoming the black sheep of the neighborhood but also the prime suspect of a serial murder case.,romance,horror
Networker Baire,"A group of four friends engaging in fun banters, and madness in the heart of Cox's Bazar when something unexpected happens to them, read a press release.",romance,horror
Backroad Diner,"Four men from Harlem in their early 30's, friends from childhood, take a late summer break, heading out of town in a Mercury Monarch on a 30-plus-hour drive to a vacation spot. Wilson is an",horror,romance
The Poseidon Adventure,Nine people explore a cruise ship at sea in a manner that turns their whole lives upside down.,action,romance
"Die Sister, Die!","Edward is tired of the ""allowance"" granted him by his older sister, Amanda and becomes impatient for her death, and his part of Father's inheritance. Amanda has suffered from two heart",horror,romance
Ice-Capades,"Newsreel cameraman Bob Clemens, an avowed woman hater, is assigned to cover the Lake Placid exhibition of Karen Vadja, the Swiss ice Queen. He misses his plane and fails to get the footage",romance,horror
Hard Rock Harrigan,"Tim 'Hard Rock"" Harrigan, a construction-crew driller working on the site of the Boulder Dam, is in a constant feud with his crew-boss ""Black Jack"" Riley, because of Harrigan's dislike of",romance,action
Storie di seduzione,"Diana is a woman of our days, whose daily routine is slowly distorted by listening to a radio drama that slowly brings her to a seemingly unknown and fantastic dimension to her.",romance,horror
Circle,"Held captive and faced with their imminent executions, fifty strangers are forced to choose the one person among them who deserves to live.",horror,action
Hidden Attack of the Dead,"Kimi faces financial difficulties by taking an illegal loan to pay off her father's medical fee, but he passed away. She is emotionally exhausted for being demanded every day for the payment of debts.",horror,romance
Steal This Movie,"After years of hiding, the notorious American leftist radical, Abbie Hoffman, discusses his life, his cause and the opposition he endured.",romance,action
Oriundi,"In a love story set in Curitiba, Southern Brazil, a patriarch witnesses the crumbling of his life-long family business at the hands of his descendants. Suddenly Sofia appears. Is she from",romance,horror
Jambhavan,"Velan lives a good life in the village, but often experiences some visions. After a tiff with rowdies, he realises that he knows a lot about them. That is when his father makes a startling revelation.",action,romance
The Slick Clique,"Six friends are broken apart when a girl develops a crush on one of them, and the other five must deal with a group of bullies while trying to find out why they had to be broken up.",romance,horror
Samouraïs,"A descendant of a cursed, ancient clan, is investigating the gruesome murder of a video game designer.",action,horror
My Name Is Bruce,"Mistaken for his character Ash from the 'Evil Dead' trilogy, Bruce Campbell is forced to fight a real monster in a small Oregon town.",horror,action
Stewardess School,"The zany ""stewdents"" at a wacky flight attendants' school have all sorts of wild and crazy high-flying adventures in this '80s comedy.",action,romance
Punk Fu Zombie,"Hochelaga 2048 - Depuis des temps immémoriaux, la nation québécoise a toujours cherché un sauveur. Ce sauveur se nomme Charles Maurice. C'est son audace, son courage, sa détermination et",horror,romance
Bamy,"After years of not seeing each other, old school friends Fumiko and Ryota are reunited under mysterious circumstances. A romance soon springs from this chance encounter, but their new",horror,romance
Split Image,A rootless young man is drawn into an unnamed religious cult by a beautiful girl. Every moment with the group causes him to become increasingly under the control of the cult's leader. After,romance,horror
The Night Wire,Plot kept under wraps.,horror,action
Floods of Fear,Two inmates working to shore up a dike during a severe flood are swept away in the current along with their guard. The three of them wind up in an isolated house whose flooded interior contains a frightened woman.,action,horror
On the Edge of Love,A broken heart American master thief falls in love while attempting to rob the most valuable diamond necklace ever produce during a high end fashion show in Rome. Who will get the necklace? ..... Will they get cut?.... Will Love remain?,action,romance
Worst Kind of People,Log line: What happens when four despicable idiots decide to rob small-time payday lenders? The Worst Kind of People is a narrative feature film produced by Seymour Flicks that blends a,action,horror
I Pass for Human,"Jane's lover Dax overdoses on heroin. Wanting to kill the pain of loss, Jane does dope for the first time and is soon on the way to addiction herself. She then discovers that drug users are",horror,action
The Face Behind the Scar,"James Martin and Carol Wall have plans to elope, but a fight with her father's solicitor ends in murder committed by an unknown third-party, and Martin is hunted for the crime, knowing the",romance,horror
Jumanji: Welcome to the Jungle,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",action,horror
A Fighter's Blues,"After a 13-year imprisonment in Hong Kong, a kickboxer challenges the current champion in order to restore his honor.",romance,action
Shen long xiao hu chuang jiang hu,A young Chinese man is walking along a deserted stretch of road when suddenly three hoodlums appear and tell him it is the day of his death.,action,horror
When Strangers Appear,A man enters a roadside diner run by a young woman and claims he is being chased by murderers.,action,horror
The Last Mistake of My Life,"This is the story of the college group, where the professor keeps harassing the students there on small things, Rocky, a student of the same college, makes that professor want to learn a",action,horror
Gandhinagar 2nd Street,"Sethu is an unemployed youth, struggling to get a job. However, when a spate of robberies take place in the neighborhood, his friend poses him as a Nepali to get a job as a security guard.",romance,action
Teri Talash Mein,"Shortly after the double homicide of his dad's business partner, Mehta, and Shilpa Mehta, Akash Sandhu returns home to Ratnapur, and runs into the ghostly apparition of Shilpa. After",horror,action
Kick,"""Kick"" is an action-comedy-family-drama Tamil - Telugu movie involving successful Santhosh and ill-fated Shivani. The story unravels the chemistry between Santhanam and Tanya Hope - playing the lead role.",action,romance
Predecessor,"Competing teams of scientists, one millennials and the other baby boomers, defend themselves against a reactivated WWII-era cyborg with deadly mood swings.",horror,action
Torment of the Flesh,"A man kills women because he was not loved by his mother and in his puberty he was dismissed by girls as sexually unattractive. And whenever he meets women now, he just cannot control himself.",horror,romance
Spirit Warriors: The Shortcut,"Picking up from where they left off, the Spirit Warriors stumble upon a black hole to the Netherworld in their search for an ancient mystical, powerful amulet. Now that they have found the",action,horror
Sunflower,"Released from prison, Taesik goes to live with an adopted mother. He takes a job and tries to live a quiet life with his new family. His efforts are threatened when a politician seeks to knock the family restaurant down to build a mall.",action,romance
Fat Guy with a Shotgun: Hillbilly Prophecy,"When the apocalypse begins, all that can stop Hell on Earth is a Fat Guy with a Shotgun",action,horror
The True Hero,An ex-con has spent the last ten years of his life in prison for defending the lives of his best friend and his best friend's sister. While in jail he learns to become a teacher's aide. In,action,romance
The Wind Guardians,"A young man who lives in Xiaoyanggang dreams of martyrdom, but he is blind and can only sneak into the market by swindling. One day, Rakshasa attacked Xiaoyanggang, and his mother, who was",action,romance
Money Is Our Goal,Adwoa owns a very exclusive hair salon that charges thousands of dollars to schedule an appointment. When clients start disappearing the police start to question recent murders in the area.,action,horror
Katala,The story of a player who entered the environment of professional gamblers in the hope of breaking a big jackpot.,romance,action
Little India,"In financial ruin, an immigrant jeweler in Artesia, California's ""Little India"" summons the powers of Hindu black magic, resulting in hellish consequences.",horror,action
Naa Ninna Bidalaare,"Krishna refuses to accept Kamini's love for him. But when Kamini dies and her ghost possesses Krishna, his wife, Gayatri, tries to save him from this situation.",horror,romance
You Can't Predict Fate,"Marcus and Cynthia were out for a drive in the country, when they got ran off the road. Ruby saves them and brings them back to her place to give them medical treatment. Remote in the",horror,romance
A Shadows of Conspiracy,This revealing film shows unprecedented authentic images of babies inside and outside the uterus.,action,horror
Aetbaar,"A protective father starts digging deeper into the past of his daughter's possessive, unpredictable and violent boyfriend.",action,romance
The Wolf,"It is serving back-to-back life sentences for the brutal murder of his wife and her lover. When his only friend is slain in a botched robbery, not even prison walls can stop him from avenging her.",horror,action
Last Rites,"Angela, the beautiful Mexican mistress of a NY mobster, asks virginal Father Michael for protection after Zena, the mobster's wife, kills her cheating husband. Michael becomes torn between his vows, Angela and his sister - Zena.",action,romance
The Last Women of the Philippines,Two young sisters are shipwrecked on a deserted island with their teacher Ms. Muro.,action,romance
Jio Pagla,"Ananta, Sujoy, Ananda and Rajasaunkar Dhol who were very close friends from childhood. Ananta, a fashion photographer lived in a rented house, which is owned by Khagen Mal. His three",romance,horror
Rang Panjab,"It's a story about a guy who stands against the bad things he is seeing happening around him like politics, administration problems, drugs, crime, etc.",romance,action
Lou,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.",action,horror
Shakespeare's Plan 12 from Outer Space,"Shakespeare's ""Twelfth Night"", re-imagined in a child's vision of Hell. This work is a festive yarn, composed of the most homely and vulgar materials while shamelessly thwarted by the Bard's coarsest of jokes and grossest buffoonery.",horror,romance
Love's a Killer: Rellik's Revenge,"College students at Reese University in the suburb town of Witherspoon Falls have a problem, they've added a mysterious cloaked man to their friends list their school's social network",horror,romance
Kismath,The friendship between B.Tech student Irfan and research student Anitha and the lives around them form the plot of the film. Various incidents that take place in one day are narrated in the movie.,romance,action
Good Intentions,"Racketeer David Cresson's sudden passion for the straight-and-narrow life is thanks to his falling in love with society débutante Helen Rankin. However, his former associate and",action,romance
Brody: He's Back,"Brody is back. Nancy has a new man. His children do not want to see it. He is alone. He is alone, but wants revenge.",action,horror
Naked Vengeance,A beautiful woman seeks revenge for tragedy forced upon her family.,action,horror
Girly,"A wealthy, fatherless British clan kidnaps bums and hippies and forces them to participate in an elaborate role-playing game in which they are the perfect family; those who refuse or attempt escape are ritualistically murdered.",horror,action
Shadow Men,A former elite soldier discovers the inhabitants of an isolated town are being secretly controlled. He must unravel who is behind the sinister experiment - man or alien - and stop their technology being unleashed upon the world.,action,horror
Trust No 1,"Officer Bradley (Douglas Rouillard) investigates murders believed to be part of a serial killing and quickly learns it's much bigger. With the body count rising, and nothing adding up, he turns to his last resort for help, his brother.",action,horror
Monday,A simple funeral turns a man's world topsy turvy.,action,romance
Taco Boy,"A film about love, loss, and eating tacos.",romance,horror
Variety,"Prologue: The murderer ""Boss"" Huller - after having spent ten years in prison - breaks his silence to tell the warden his story. ""Boss"", a former trapeze artist, and his wife own a cheap",romance,action
Uttama Kali Purushudu,"Story takes multiple turns and twists, with love, cheat, and revenge. An awakened youngster decides to bring change in society by choosing wrong way. A challenging Crime investigation tries",romance,action
Marah from Eilat,A well respected Detective must face the consequences after he reneges on a deal he made with the Devil.,horror,action
They Met in Argentina,"A Texas oil millionaire, after failing to secure oil lands in Argentina, seeks out a famous race horse in Buenos Aires and order his representative to buy the nag at any price. Ellison has",romance,action
Barney Burman's Wild Boar,"A small group of treasure hunters, also known as ""Geocachers,"" trek into to the desert to conquer a Geocache ""Challenge."" Out in the wild they stumble upon a forbidden world flooded with",horror,action
Um Homem Diabólico,"The servant Juarez kills his boss to marry his wife, who is his lover, but their son Mário Soares flees. Juarez becomes a rich man, and twenty years later his wife dies. He hires a gang to",action,romance
Di Sini Ada Yang Mati,"Sarah, Jasmine, and Lydia always help each other if one is hit by the problem. At one point, Lydia complained to Jasmine and Sarah that she was expecting. The child was the result of his relationship with Christian, Lydia's ex- lover.",horror,romance
His Last Chance,"A boy abused, neglected and abandoned by the Foster Care System, adoptive family and guardians for years finally goes over the edge. When drugs and alcohol are more important than a child, how does the child get even? Revenge has a salute.",action,horror
Komunalne,"On its 80th anniversary the oldest ""communal flat"" in Donetsk and a bunch of its unpredictable and unstable residents and their guests encounter misadventures of any imaginable kind...",action,horror
Beowulf,"In a besieged land, Beowulf must battle against the hideous creature Grendel and his vengeance seeking mother.",action,horror
Blood Sun Town,"Crime, love, revenge and fate blend seamlessly in the gritty action thriller Blood Sun Town set in the blistering hot desert town of Sunscorch, California. Lori (Amanda Harris), a troubled",action,horror
Hell on the Battleground,Vietnam: The battle-tested Seargents Casey and Lance have to accompany a young Lieutenant and a group of newly arrived teenage soldiers on a practice trip in the jungle. But the trip turns,action,horror
Agniputra,"Arjun, a devoted son and brother, loves his mother and three sisters dearly. He sacrifices his love and happiness to safeguard his family against all odds.",action,romance
"Girls, Girls, Girls","These fun loving girls get together each month for a sleepover that's full of excitement and fun. They vow to support each other through all life's struggles including pimps, abusive boyfriends and other traumatic trials.",action,romance
Madagascar Gold,Young and intrepid Alanza McIntrye ventures to exotic Madagascar to uncover clues regarding the mysterious disappearance of her archaeologist father - who claims to have found the location of Captain Kidd's fabled buried treasure.,action,horror
Gifts from Eykis,An intelligent female being from another Universe can save the world before it's too late by sharing her secret gifts with the professor who found and fell in love with her.,action,romance
Räuberinnen,"Emily is sent to work and live in the Sovereign's castle. She manages to escape into the woods, where she meets some lively hookers. Together they become «Robber Girls» taking a stand and fighting the patriarchy.",action,romance
